data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments,,,,,,
IOT,1,8,8,N,Ship,Barcelona (SS),Visual,45,-49.66666667,1904,1904,March,3/15/04,,Small,,,,3,,,,,,,,,,,,,,,,,,HB 761 Mar 30: met 3 small bergs in approximate position,,,,,,
IOT,1,9,9,N,Ship,Georgian Prince (SS),Visual,47.26666667,-44.38333333,1904,1904,March,3/28/04,,Ice island,,,,,,,,1,,Pinnacle,463,E,46,E,,,,,,,,HB 763 Apr 13: passed a large berg ~¼ mile long & surmounted by a pinnacle ~150' high,,,,,,
IOT,1,10,10,N,Ship,Georgian Prince (SS),Visual,46.5,-45.8,1904,1904,March,3/28/04,,Large,,,,,,2,,,,,,,,,,,,,,,,HB 763 Apr 13,,,,,,
IOT,1,55,55,N,Ship,Michigan (SS),Visual,43.65,-43.51666667,1904,1904,March,3/31/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 766 May 4,,,,,,
IOT,1,11,11,N,Ship,Montezuma (SS),Visual,45.75,-44.76666667,1904,1904,April,4/1/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 763 Apr 13,,,,,,
IOT,1,12,12,N,Ship,Montezuma (SS),Visual,45.58333333,-45.75,1904,1904,April,4/1/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 763 Apr 13,,,,,,
IOT,1,13,13,N,Ship,Louisiana (SS),Visual,45.35,-43.61666667,1904,1904,April,4/2/04,,Bergy bit,,,1,,,,,,,,,,,,,,,,,,,HB 763 Apr 13: saw a large block of ice,,,,,,
IOT,1,15,15,N,Ship,Beacon Light (SS),Visual,46.8,-45.66666667,1904,1904,April,4/5/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 764 Apr 20,,,,,,
IOT,1,16,16,N,Ship,Delaware (SS),Visual,44.03333333,-49.66666667,1904,1904,April,4/6/04,,Medium,,,,,1,,,,,,110,E,,,,,,,,,,HB 764 Apr 20: saw a small berg ~360' long & large & small pieces of drift ice. NYMR,,,,,,
IOT,1,17,17,N,Ship,Mannheim (SS),Visual,43.45,-49,1904,1904,April,4/7/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 764 Apr 20,,,,,,
IOT,1,14,14,N,Ship,Sachem (SS),Visual,43.08333333,-48.86666667,1904,1904,April,4/8/04,,Medium,,,,,1,,,,,,,,,,,,,,,,,HB 763 Apr 13. NYMR,,,,,,
IOT,1,18,18,N,Ship,Oilfield (SS),Visual,45.16666667,-45.5,1904,1904,April,4/8/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 764 Apr 20: passed a large berg with summit obscured by haze. NYMR,,,,,,
IOT,1,20.01,20.01,N,Ship,Lord Charlemont (SS),Visual,44.15,-48.06666667,1904,1904,April,4/8/04,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 764 Apr 20: saw large quantities of field ice & a few small bergs,,,,,,
IOT,0,20.02,20.02,N,Ship,Lord Charlemont (SS),Visual,43.75,-49.11666667,1904,1904,April,4/8/04,,Small,,,,,,,,,,,,,,,,,,,,,,HB 764 Apr 20: saw large quantities of field ice & a few small bergs,,,,,,
IOT,1,19,19,N,Ship,Oilfield (SS),Visual,43.33333333,-47.83333333,1904,1904,April,4/9/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 764 Apr 20: passed a large berg & large quantities of drift ice. NYMR,,,,,,
IOT,1,21,21,N,Ship,Lackawanna (SS),Visual,44.06666667,-48.26666667,1904,1904,April,4/10/04,,Small,,,,5,,,,,,,,,,,,,,,,,,HB 764 Apr 20,,,,,,
IOT,1,22,22,N,Ship,Lackawanna (SS),Visual,43.9,-48.5,1904,1904,April,4/10/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 764 Apr 20,,,,,,
IOT,1,23,23,N,Ship,Calabria (SS),Visual,42.33333333,-49.4,1904,1904,April,4/12/04,,Ice island,,,,,,,,1,,,305,E,76,E,,,,,,,,HB 764 Apr 20: passed a berg ~1000' long & 250' high. NYMR,,,,,,
IOT,1,24,24,N,Ship,Calabria (SS),Visual,42.3,-49.93333333,1904,1904,April,4/12/04,,Small,,,,1,,,,,,,30,E,9.1,E,,,,,,,,HB 764 Apr 20: saw a berg 100' long & 30' high. NYMR,,,,,,
IOT,1,25,25,N,Ship,Exeter City (SS),Visual,42.23333333,-49.83333333,1904,1904,April,4/12/04,,Medium,,,,,3,,,,,,,,18,E,,,,,,,,HB 764 Apr 20: saw 3 bergs ~60' high & a quantity of drift ice. NYMR,,,,,,
IOT,1,29.1,29.1,N,Ship,Cymbeline (SS),Visual,43.33333333,-49.5,1904,1904,April,4/13/04,,Medium,,,,,1,,,,,,,,,,,,,,,,,HB 765 Apr 27: passed a medium sized berg & a dozen small pieces,,,,,,
IOT,1,29.2,29.2,N,Ship,Cymbeline (SS),Visual,43.33333333,-49.5,1904,1904,April,4/13/04,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: passed a medium sized berg & a dozen small pieces,,,,,,
IOT,1,50.01,50.01,N,Ship,Sarmatian (SS),Visual,42.5,-49.65,1904,1904,April,4/13/04,,Berg,14,,,,,,,,,,,,,,,,,,,,,HB 766 May 4: passed 14 bergs with ridges of soft field ice,,,,,,
IOT,0,50.02,50.02,N,Ship,Sarmatian (SS),Visual,42.2,-49.4,1904,1904,April,4/13/04,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 766 May 4: passed 14 bergs with ridges of soft field ice,,,,,,
IOT,1,26,26,N,Ship,Hellig Olav (SS),Visual,46.11666667,-41.78333333,1904,1904,April,4/14/04,,Medium,,,,,1,,,,,,91,E,37,E,,,,,,,,HB 764 Apr 20: saw a berg 300' long & 120' high. NYMR,,,,,,
IOT,1,30,30,N,Ship,Cymbeline (SS),Visual,43.3,-49.3,1904,1904,April,4/14/04,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: passed several large pieces of ice,,,,,,
IOT,1,31,31,N,Ship,Cymbeline (SS),Visual,43.03333333,-49.5,1904,1904,April,4/14/04,,Small,,,,2,,,,,,,,,,,,,,,,,,HB 765 Apr 27,,,,,,
IOT,1,27,27,N,Ship,Hellig Olav (SS),Visual,42.7,-49,1904,1904,April,4/15/04,,Bergy bit,,,3,,,,,,,,14,E,3.7,E,,,,,,,,HB 764 Apr 20: saw 3 large pieces of ice from 25 to 50' long & 6 to 12' high. NYMR,,,,,,
IOT,1,32.1,32.1,N,Ship,Island (SS),Visual,43.3,-48.75,1904,1904,April,4/15/04,,Very large,,,,,,,1,,,,61,E,91,E,,,,,,,,HB 765 Apr 27: passed 2 large bergs from 300 to 500' high & 200 to 300' long. NYMR,,,,,,
IOT,1,32.2,32.2,N,Ship,Island (SS),Visual,43.3,-48.75,1904,1904,April,4/15/04,,Very large,,,,,,,1,,,,91,E,152,E,,,,,,,,HB 765 Apr 27: passed 2 large bergs from 300 to 500' high & 200 to 300' long. NYMR,,,,,,
IOT,1,33.11,33.11,N,Ship,Cornishman (SS),Visual,42.56666667,-48.88333333,1904,1904,April,4/15/04,,Small,,,,8,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw 8 small bergs & several small pieces of ice. NYMR,,,,,,
IOT,0,33.12,33.12,N,Ship,Cornishman (SS),Visual,42.43333333,-49.78333333,1904,1904,April,4/15/04,,Small,,,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw 8 small bergs & several small pieces of ice. NYMR,,,,,,
IOT,1,33.21,33.21,N,Ship,Cornishman (SS),Visual,42.56666667,-48.88333333,1904,1904,April,4/15/04,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw 8 small bergs & several small pieces of ice. NYMR,,,,,,
IOT,0,33.22,33.22,N,Ship,Cornishman (SS),Visual,42.43333333,-49.78333333,1904,1904,April,4/15/04,,Growler,,,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw 8 small bergs & several small pieces of ice. NYMR,,,,,,
IOT,1,34.01,34.01,N,Ship,Nordboen (SS),Visual,45.33333333,-46,1904,1904,April,4/15/04,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw several small bergs & some field ice,,,,,,
IOT,0,34.02,34.02,N,Ship,Nordboen (SS),Visual,45.33333333,-48,1904,1904,April,4/15/04,,Small,,,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw several small bergs & some field ice,,,,,,
IOT,1,57,57,N,Ship,Montmouth (SS),Visual,43.38333333,-48.85,1904,1904,April,4/15/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 767 May 11,,,,,,
IOT,1,28.01,28.01,N,Ship,Saint Cuthbert (SS),Visual,45.28333333,-47.23333333,1904,1904,April,4/16/04,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 764 Apr 20: saw immense field oce ice interspersed with bergs,,,,,,
IOT,0,28.02,28.02,N,Ship,Saint Cuthbert (SS),Visual,44.43333333,-48.65,1904,1904,April,4/16/04,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 764 Apr 20: saw immense field oce ice interspersed with bergs,,,,,,
IOT,1,35,35,N,Ship,Victorian (SS),Visual,42.48333333,-49.41666667,1904,1904,April,4/16/04,,Large,,,,,,1,,,,Dome,,,,,,,,,,,,HB 765 Apr 27: saw a large conical shaped berg,,,,,,
IOT,1,36,36,N,Ship,Victorian (SS),Visual,42.3,-49.75,1904,1904,April,4/16/04,,Small,,,,1,,,,,,Tabular,,,,,,,,,,,,HB 765 Apr 27: saw a small flat berg,,,,,,
IOT,1,37.11,37.11,N,Ship,Belgenland (SS),Visual,42.25,-49,1904,1904,April,4/16/04,,Berg,4,,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw 4 bergs & several smaller ones,,,,,,
IOT,0,37.12,37.12,N,Ship,Belgenland (SS),Visual,42.25,-50,1904,1904,April,4/16/04,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw 4 bergs & several smaller ones,,,,,,
IOT,1,37.21,37.21,N,Ship,Belgenland (SS),Visual,42.25,-49,1904,1904,April,4/16/04,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw 4 bergs & several smaller ones,,,,,,
IOT,0,37.22,37.22,N,Ship,Belgenland (SS),Visual,42.25,-50,1904,1904,April,4/16/04,,Small,,,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw 4 bergs & several smaller ones,,,,,,
IOT,1,38.1,38.1,N,Ship,Winifredian (SS),Visual,42.41666667,-48.83333333,1904,1904,April,4/16/04,,Medium,,,,,3,,,,,,,,,,,,,,,,,HB 765 Apr 27: passed 3 medium sized bergs & some small pieces of ice,,,,,,
IOT,1,38.2,38.2,N,Ship,Winifredian (SS),Visual,42.41666667,-48.83333333,1904,1904,April,4/16/04,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: passed 3 medium sized bergs & some small pieces of ice,,,,,,
IOT,1,39.1,39.1,N,Ship,Macduff (SS),Visual,43.5,-47.66666667,1904,1904,April,4/17/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw a small berg & 2 heavy pieces of field ice. NYMR,,,,,,
IOT,1,39.2,39.2,N,Ship,Macduff (SS),Visual,43.5,-47.66666667,1904,1904,April,4/17/04,,Growler,,2,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw a small berg & 2 heavy pieces of field ice. NYMR,,,,,,
IOT,1,40,40,N,Ship,Macduff (SS),Visual,43.41666667,-48.33333333,1904,1904,April,4/17/04,,Growler,,1,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27,,,,,,
IOT,1,41,41,N,Ship,Rhein (SS),Visual,42.08333333,-48.85,1904,1904,April,4/18/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 765 Apr 27,,,,,,
IOT,1,42,42,N,Ship,Majestic (SS),Visual,42,-48.73333333,1904,1904,April,4/18/04,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: passed several pieces of field ice,,,,,,
IOT,1,43.1,43.1,N,Ship,Mongolian (SS),Visual,42.55,-48.86666667,1904,1904,April,4/18/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 765 Apr 27: saw a large berg & several small pieces of ice,,,,,,
IOT,1,43.2,43.2,N,Ship,Mongolian (SS),Visual,42.55,-48.86666667,1904,1904,April,4/18/04,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw a large berg & several small pieces of ice,,,,,,
IOT,1,44,44,N,Ship,Saxonia (SS),Visual,42.06666667,-49.25,1904,1904,April,4/19/04,,Small,,,,1,,,,,,,12,E,6.1,E,,,,,,,,HB 765 Apr 27: passed ½ mile to the northwards of a small berg ~40' long & 20' high [position calculated],,,,,,
IOT,1,45,45,N,Ship,Pomeranian (SS),Visual,42.73333333,-48.61666667,1904,1904,April,4/19/04,,Small,,,,2,,,,,,,,,,,,,,,,,,HB 765 Apr 27,,,,,,
IOT,1,46,46,N,Ship,Italia (SS),Visual,42.5,-48.88333333,1904,1904,April,4/19/04,,Growler,,2,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw 2 small pieces of ice. NYMR,,,,,,
IOT,1,47,47,N,Ship,Rappahannock (SS),Visual,43.13333333,-48.2,1904,1904,April,4/19/04,,Growler,,2,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: passed 2 small pieces of ice,,,,,,
IOT,1,48,48,N,Ship,Rappahannock (SS),Visual,43.16666667,-48.43333333,1904,1904,April,4/19/04,,Growler,,4,,,,,,,,,,,,,,,,,,,,HB 765 Apr 27: saw 4 small pieces of ice,,,,,,
IOT,1,58,58,N,Ship,Canada (SS),Visual,41.98333333,-48.8,1904,1904,April,4/19/04,,Growler,,1,,,,,,,,,,,,,,,,,,,,HB 767 May 11: passed a small piece of ice,,,,,,
IOT,1,49,49,N,Ship,Columbia (SS),Visual,46.61666667,-43.16666667,1904,1904,April,4/21/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 765 Apr 27: saw a large berg 2 miles to the southward [position calculated],,,,,,
IOT,1,62,62,N,Ship,Salacia (SS),Visual,45.16666667,-48.13333333,1904,1904,April,4/23/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 768 May 18,,,,,,
IOT,1,56,56,N,Ship,Hekla (SS),Visual,48.16666667,-41.83333333,1904,1904,April,4/24/04,,Very large,,,,,,,1,,,,213,E,91,E,,,,,,,,"NYMR: Berg ~700' long, 300' high with lon of 41.05. HB 766 May 4",,,,,,
IOT,1,60,60,N,Ship,Carthaginian (SS),Visual,49.4,-47.53333333,1904,1904,April,4/24/04,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 767 May 11: saw a field ice ice with large & small bergs,,,,,,
IOT,1,83,83,N,Ship,Teutonia (SS),Visual,43.96666667,-50.15,1904,1904,April,4/24/04,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 769 May 25: saw several small pieces of ice,,,,,,
IOT,1,51,51,N,Ship,Germanic (SS),Visual,42.08333333,-48.96666667,1904,1904,April,4/28/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 766 May 4,,,,,,
IOT,1,84.1,84.1,N,Ship,North Point (SS),Visual,43.66666667,-49.5,1904,1904,April,4/28/04,,Medium,,,,,1,,,,,,,,27,E,,,,,,,,HB 769 May 25: passed a medium sized berg ~90' high & several small pieces of ice,,,,,,
IOT,1,84.2,84.2,N,Ship,North Point (SS),Visual,43.66666667,-49.5,1904,1904,April,4/28/04,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 769 May 25: passed a medium sized berg ~90' high & several small pieces of ice,,,,,,
IOT,1,98,98,N,Ship,North Point (SS),Visual,44.25,-47.93333333,1904,1904,April,4/28/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 769 May 25,,,,,,
IOT,1,52,52,N,Ship,La Gascogne (SS),Visual,42.1,-51.41666667,1904,1904,April,4/29/04,,Medium,,,,,1,,,,,,,,43,E,,,,,,,,NYMR: Berg 145' high. HB 766 May 4,,,,,,
IOT,1,53,53,N,Ship,Minnetonka (SS),Visual,42.13333333,-49.15,1904,1904,April,4/29/04,,Large,,,,,,1,,,,,,,30,E,,,,,,,,HB 766 May 4: passed a large berg ~100' high,,,,,,
IOT,1,54,54,N,Ship,Potsdam (SS),Visual,42.03333333,-48.93333333,1904,1904,April,4/29/04,,Large,,,,,,1,,,,,,,61,E,,,,,,,,HB 766 May 4: saw a berg ~200' high. NYMR,,,,,,
IOT,1,59,59,N,Ship,Almora (SS),Visual,42.15,-49.06666667,1904,1904,April,4/29/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 767 May 11,,,,,,
IOT,1,63,63,N,Ship,Saxonia (SS),Visual,41.95,-48.8,1904,1904,April,4/29/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 768 May 18,,,,,,
IOT,1,72,72,N,Ship,Minia (SS),Visual,47.96666667,-44.06666667,1904,1904,April,4/29/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 768 May 18,,,,,,
IOT,1,73,73,N,Ship,Iona (SS),Visual,49.25,-46.4,1904,1904,May,5/1/04,,Medium,,,,,1,,,,,,,,,,,,,,,,,HB 768 May 18,,,,,,
IOT,1,74,74,N,Ship,Iona (SS),Visual,48.33333333,-47.16666667,1904,1904,May,5/1/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 768 May 18: saw quantities of field ice & a small berg,,,,,,
IOT,1,61,61,N,Ship,Deutschland (SS),Visual,41.5,-47.9,1904,1904,May,5/3/04,,Ice island,,,,,,,,1,,,305,E,61,E,,,,,,,,HB 767 May 11: saw a large berg ~1000' long & 200' high. NYMR,,,,,,
IOT,1,75.1,75.1,N,Ship,Coronation (SS),Visual,48.75,-43.5,1904,1904,May,5/3/04,,Large,,,,,,1,,,,Pinnacle,122,E,30,E,,,,,,,,HB 768 May 18: passed a berg 400' long & 100' high with a peak on each end; also a small berg,,,,,,
IOT,1,75.2,75.2,N,Ship,Coronation (SS),Visual,48.75,-43.5,1904,1904,May,5/3/04,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 768 May 18: passed a berg 400' long & 100' high with a peak on each end; also a small berg,,,,,,
IOT,1,102,102,N,Ship,Arabic (SS),Visual,41.41666667,-48.11666667,1904,1904,May,5/3/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 770 Jun 1,,,,,,
IOT,1,64,64,N,Ship,Coronation (SS),Visual,48.16666667,-48,1904,1904,May,5/4/04,,Large,,,,,,2,,,,,,,,,,,,,,,,HB 768 May 18: encountered ~20 miles of field ice & saw 2 large bergs,,,,,,
IOT,1,76,76,N,Ship,Coronation (SS),Visual,48.83333333,-46,1904,1904,May,5/4/04,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 768 May 18: saw numerous small bergs,,,,,,
IOT,1,77,77,N,Ship,Fricka (SS),Visual,41.76666667,-47.01666667,1904,1904,May,5/4/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 768 May 18: passed 8 miles to the northward of a large berg [position calculated]. NYMR,,,,,,
IOT,1,86.01,86.01,N,Ship,Pomeranian (SS),Visual,48.35,-49.11666667,1904,1904,May,5/4/04,,Berg,17,,,,,,,,,,,,,,,,,,,,,HB 769 May 25: passed 17 bergs of various sizes & saw 3 fields of ice ~1 mile wide & extending several miles in a N&S direction,,,,,,
IOT,0,86.02,86.02,N,Ship,Pomeranian (SS),Visual,48.7,-48.25,1904,1904,May,5/4/04,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 769 May 25: passed 17 bergs of various sizes & saw 3 fields of ice ~1 mile wide & extending several miles in a N&S direction,,,,,,
IOT,1,108,108,N,Ship,Sagamore (SS),Visual,43.63333333,-47.78333333,1904,1904,May,5/4/04,,Medium,,,,,1,,,,,,30,E,20,E,,,,,,,,HB 770 Jun 1: passed a berg 100' long & 65' high,,,,,,
IOT,1,65.01,65.01,N,Ship,Bray Head (SS),Visual,48.53333333,-47.83333333,1904,1904,May,5/7/04,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 768 May 18: saw a large number of bergs of various sizes,,,,,,
IOT,0,65.02,65.02,N,Ship,Bray Head (SS),Visual,48.13333333,-49.25,1904,1904,May,5/7/04,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 768 May 18: saw a large number of bergs of various sizes,,,,,,
IOT,1,78,78,N,Ship,Sarmatian (SS),Visual,44.68333333,-46.68333333,1904,1904,May,5/7/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 768 May 18,,,,,,
IOT,1,79,79,N,Ship,Roma (SS),Visual,41.73333333,-47.28333333,1904,1904,May,5/7/04,,Medium,,,,,1,,,,,,61,E,30,E,,,,,,,,HB 768 May 18: saw a berg ~200' long & 100' high,,,,,,
IOT,1,66.01,66.01,N,Ship,Torr Head (SS),Visual,48.23333333,-47.85,1904,1904,May,5/8/04,,Large,,,,,,x,,,,,,,,,,,,,,,,HB 768 May 18: saw a large field of ice interspersed with numerous large bergs,,,,,,
IOT,0,66.02,66.02,N,Ship,Torr Head (SS),Visual,48.13333333,-48.31666667,1904,1904,May,5/8/04,,Large,,,,,,,,,,,,,,,,,,,,,,HB 768 May 18: saw a large field of ice interspersed with numerous large bergs,,,,,,
IOT,1,67.01,67.01,N,Ship,Masconomo (SS),Visual,48.73333333,-48.81666667,1904,1904,May,5/8/04,,Medium,,,,,24,,,,,,,,,,,,,,,,,HB 768 May 18: passed large quantities of field ice extending to the northward & southward as far as could be seen; also ~24 medium sized bergs,,,,,,
IOT,0,67.02,67.02,N,Ship,Masconomo (SS),Visual,48.45,-49.41666667,1904,1904,May,5/8/04,,Medium,,,,,,,,,,,,,,,,,,,,,,HB 768 May 18: passed large quantities of field ice extending to the northward & southward as far as could be seen; also ~24 medium sized bergs,,,,,,
IOT,1,80,80,N,Ship,Koln (SS),Visual,41.75,-47.01666667,1904,1904,May,5/8/04,,Very large,,,,,,,1,,,,244,E,52,E,,,,,,,,HB 768 May 18: saw a berg ~800' long & 170' high,,,,,,
IOT,1,81,81,N,Ship,Phoebus (SS),Visual,42.5,-47.8,1904,1904,May,5/8/04,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 768 May 18: a large berg was passed by a steamer [does this mean it may not be the Pheobus?],,,,,,
IOT,1,87.01,87.01,N,Ship,Corean (SS),Visual,48.93333333,-49.3,1904,1904,May,5/8/04,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 769 May 25: saw broken field ice & several bergs,,,,,,
IOT,0,87.02,87.02,N,Ship,Corean (SS),Visual,48.7,-49.2,1904,1904,May,5/8/04,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 769 May 25: saw broken field ice & several bergs,,,,,,
IOT,1,99.11,99.11,N,Ship,Buenos Ayrean (SS),Visual,48.28333333,-45.23333333,1904,1904,May,5/8/04,,Berg,17,,,,,,,,,,,,,,,,,,,,,HB 769 May 25: saw 17 bergs & a number of pieces of ice,,,,,,
IOT,0,99.12,99.12,N,Ship,Buenos Ayrean (SS),Visual,47.18333333,-47.58333333,1904,1904,May,5/8/04,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 769 May 25: saw 17 bergs & a number of pieces of ice,,,,,,
IOT,1,99.21,99.21,N,Ship,Buenos Ayrean (SS),Visual,48.28333333,-45.23333333,1904,1904,May,5/8/04,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 769 May 25: saw 17 bergs & a number of pieces of ice,,,,,,
IOT,0,99.22,99.22,N,Ship,Buenos Ayrean (SS),Visual,47.18333333,-47.58333333,1904,1904,May,5/8/04,,Growler,,,,,,,,,,,,,,,,,,,,,,HB 769 May 25: saw 17 bergs & a number of pieces of ice,,,,,,
IOT,1,110.01,110.01,N,Ship,Ulunda (SS),Visual,48.23333333,-48.33333333,1904,1904,May,5/8/04,,Berg,10,,,,,,,,,,,,,,,,,,,,,HB 771 Jun 8: passed 10 bergs & a large quantity of heavy pack ice as far as could be seen,,,,,,
IOT,0,110.02,110.02,N,Ship,Ulunda (SS),Visual,48.06666667,-48.08333333,1904,1904,May,5/8/04,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 771 Jun 8: passed 10 bergs & a large quantity of heavy pack ice as far as could be seen,,,,,,
IOT,1,82,82,N,Ship,American (SS),Visual,43,-47.35,1904,1904,May,5/9/04,,Small,,,,1,,,,,,,46,E,15,E,,,,,,,,HB 768 May 18: saw a small berg ~150' long & 50' high,,,,,,
IOT,1,100,100,N,Ship,Russian Prince (SS),Visual,42.38333333,-46.38333333,1904,1904,May,5/9/04,,Medium,,,,,1,,,,,,91,E,43,E,,,,,,,,HB 769 May 25: passed within 5 miles of a large berg ~300' long & 140' high,,,,,,
