data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments,
IOT,1,9,9,N,Ship,Cervona (SS),Visual,43.15,-49.21666667,1913,1913,March,3/18/13,,Small,,,,2,,,,,,,,,,,,,,,,,,"NYMR & HB 1231 April 2: saw 2 small bergs ~1 mile to the southward [position calculated], & several pieces of field ice to the northward",
IOT,1,10.1,10.1,N,Ship,Cymric (SS),Visual,42.95,-49.25,1913,1913,March,3/19/13,,Berg,2,,,,,,,,,,,,,,,,,,,,,NYMR: 2 bergs and 3 detached pieces. HB 1230 March 26: 2 bergs [maybe some confusion in reports between Cymric & Columbia],
IOT,1,10.2,10.2,N,Ship,Cymric (SS),Visual,42.95,-49.25,1913,1913,March,3/19/13,,Growler,,3,,,,,,,,,,,,,,,,,,,,NYMR: 2 bergs and 3 detached pieces. HB 1230 March 26: 2 bergs [maybe some confusion in reports between Cymric & Columbia],
IOT,1,142,142,N,Ship,Manheim (SS),Visual,43,-49.65,1913,1913,March,3/19/13,,Medium,,,,,1,,,,,,60,E,30,E,,,,,,,,"HB 1230 March 26 & Washington Post 26 Mar; p.5,c.6m, berg 200' long and 100' high. HB Note: This is the most southerly position of ice reported to the Hydrographic Office this season, & indicates that the ice is rapidly reaching low latitudes",
IOT,1,181.1,181.1,N,Ship,Columbia (SS),Visual,42.95,-49.25,1913,1913,March,3/20/13,,Small,,,,2,,,,,,,,,,,,,,,,,,HB 1231 April 2: passed 2 small bergs & three detached pieces of ice [maybe some confusion of reports from Cymric & Columbia],
IOT,1,181.2,181.2,N,Ship,Columbia (SS),Visual,42.95,-49.25,1913,1913,March,3/20/13,,Growler,,3,,,,,,,,,,,,,,,,,,,,HB 1231 April 2: passed 2 small bergs & three detached pieces of ice [maybe some confusion of reports from Cymric & Columbia],
IOT,1,11,11,N,Ship,Singapore (SS),Visual,44.63333333,-44.26666667,1913,1913,March,3/21/13,,Medium,,,,,1,,,,,,61,E,6.1,E,,,,,,,,"NYMR & HB 1231 April 2: Berg 200' long, 15-20' high.",
IOT,1,12,12,N,Ship,Venango (SS),Visual,42.66666667,-49.9,1913,1913,March,3/22/13,,Medium,,,,,1,,,,,,,,30,E,,,,,,,,"NYMR & HB 1231 April 2: saw 2 large bergs ~8 miles apart, the largest being in [#13 position] & ~200' high. The smaller berg was ~100' high",
IOT,1,13,13,N,Ship,Venango (SS),Visual,42.55,-49.88333333,1913,1913,March,3/22/13,,Large,,,,,,1,,,,,,,61,E,,,,,,,,"NYMR & HB 1231 April 2: saw 2 large bergs ~8 miles apart, the largest being in [#13 position] & ~200' high. The smaller berg was ~100' high",
IOT,1,14.1,14.1,N,Ship,Elise Marie (SS),Visual,44.53333333,-45.7,1913,1913,March,3/23/13,,Large,,,,,,3,,,,,150,E,30,E,,,,,,,,"NYMR & HB 1232 Apr 9: 3 large bergs 450-500' long, 100' high & 2 small bergs",
IOT,1,14.2,14.2,N,Ship,Elise Marie (SS),Visual,44.53333333,-45.7,1913,1913,March,3/23/13,,Small,,,,2,,,,,,,,,,,,,,,,,,"NYMR & HB 1232 Apr 9: 3 large bergs 450-500' long, 100' high & 2 small bergs",
IOT,1,16,16,N,Ship,Lakonia (SS),Visual,46.41666667,-42.46666667,1913,1913,March,3/23/13,,Small,,,,1,,,,,,,,,,,,,,,,,,NYMR & HB 1231 April 2,
IOT,1,17.11,17.11,N,Ship,Patricia (SS),Visual,44.7,-45.66666667,1913,1913,March,3/23/13,,Berg,x,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9: Several bergs and growlers.,
IOT,0,17.12,17.12,N,Ship,Patricia (SS),Visual,45.1,-44.58333333,1913,1913,March,3/23/13,,Berg,,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9: Several bergs and growlers.,
IOT,1,17.21,17.21,N,Ship,Patricia (SS),Visual,44.7,-45.66666667,1913,1913,March,3/23/13,,Growler,,x,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9: Several bergs and growlers.,
IOT,0,17.22,17.22,N,Ship,Patricia (SS),Visual,45.1,-44.58333333,1913,1913,March,3/23/13,,Growler,,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9: Several bergs and growlers.,
IOT,1,18,18,N,Ship,Templemore (SS),Visual,46.21666667,-42.75,1913,1913,March,3/23/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1231 April 2,
IOT,1,19,19,N,Ship,Templemore (SS),Visual,45.65,-44.65,1913,1913,March,3/23/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1231 April 2,
IOT,1,20,20,N,Ship,Templemore (SS),Visual,45.21666667,-45.7,1913,1913,March,3/23/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1231 April 2,
IOT,1,21,21,N,Ship,Templemore (SS),Visual,45.06666667,-46.1,1913,1913,March,3/23/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1231 April 2,
IOT,1,22,22,N,Ship,Letitia (SS),Visual,44.7,-45.66666667,1913,1913,March,3/23/13,,Small,,,,1,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9,
IOT,1,23,23,N,Ship,Letitia (SS),Visual,44.95,-44.9,1913,1913,March,3/23/13,,Berg,3,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9,
IOT,1,24,24,N,Ship,Letitia (SS),Visual,45.03333333,-44.75,1913,1913,March,3/24/13,,Growler,,1,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9,
IOT,1,25.1,25.1,N,Ship,Letitia (SS),Visual,45.1,-44.58333333,1913,1913,March,3/24/13,,Berg,3,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9,
IOT,1,25.2,25.2,N,Ship,Letitia (SS),Visual,45.1,-44.58333333,1913,1913,March,3/24/13,,Growler,,1,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9,
IOT,1,26,26,N,Ship,Letitia (SS),Visual,46.08333333,-42.73333333,1913,1913,March,3/24/13,,Growler,,1,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9,
IOT,1,27,27,N,Ship,Grampian Range (SS),Visual,45.2,-42.41666667,1913,1913,March,3/24/13,,Medium,,,,,3,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9.  HB 1236 May 7: Date of sighting is March 25 and vessel given as just Grampian,
IOT,1,28,28,N,Ship,Floride (SS),Visual,46.35,-34.08333333,1913,1913,March,3/24/13,,Small,,,,1,,,,,,,60,E,18,E,,,,,,,,"HB 1233 Apr 16 & Marine Observer, J. Hennessy, Vol. 19, 1932 pp. 76-80: berg 200' long, 60' high. Note: This is an unusually eastern position for ice at this season.",
IOT,1,39,39,N,Ship,Cymric (SS),Visual,41.93333333,-49.25,1913,1913,March,3/24/13,,Small,,,,2,,,,,,,,,,,,,,,,,,NARA,
IOT,1,29,29,N,Ship,Caledonia (SS),Visual,46,-41.83333333,1913,1913,March,3/25/13,,Berg,x,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1231 April 2,
IOT,1,192,192,N,Ship,Caledonia (SS),Visual,45.83333333,-42.16666667,1913,1913,March,3/25/13,,Large,,,,,,2,,,,,,,,,,,,,,,,HB 1236 May 7,
IOT,1,30,30,N,Ship,Willehad (SS),Visual,44.3,-44.46666667,1913,1913,March,3/26/13,,Very large,,,,,,,1,,,,250,E,20,E,,,,,,,,NYMR. HB 1233 Apr 16: ~250 meters long and 20 meters high,
IOT,1,31,31,N,Ship,Kursk (SS),Visual,46.41666667,-42.43333333,1913,1913,March,3/26/13,,Small,,,,1,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9,
IOT,1,35,35,N,Ship,Caledonia (SS),Visual,45.83333333,-42.11666667,1913,1913,March,3/26/13,,Medium,,,,,2,,,,,,,,18,E,,,,,,,,NYMR states Mar 28 sighting. HB 1234 Apr 23: passed 2 bergs ~60' high,
IOT,1,32,32,N,Ship,Kursk (SS),Visual,45.16666667,-44.53333333,1913,1913,March,3/27/13,,Large,,,,,,1,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9,
IOT,1,33.1,33.1,N,Ship,Purelight (SS),Visual,46.5,-43.66666667,1913,1913,March,3/27/13,,Medium,,,,,1,,,,,,,,,,,,,,,,,NYMR: a medium sized berg and several small pieces of ice from 40 to 60' in area and ~6' high. HB 1232 Apr 9 mentions latter ice but not medium berg,
IOT,1,33.2,33.2,N,Ship,Purelight (SS),Visual,46.5,-43.66666667,1913,1913,March,3/27/13,,Bergy bit,,,x,,,,,,,,5,E,1.8,E,,,,,,,,NYMR: a medium sized berg and several small pieces of ice from 40 to 60' in area and ~6' high. HB 1232 Apr 9 mentions latter ice but not medium berg,
IOT,1,36,36,N,Ship,Taurus (SS),Visual,45.7,-44.5,1913,1913,March,3/29/13,,Large,,,,,,x,,,,,,,,,,,,,,,,NYMR & HB 1233 Apr 16,
IOT,1,37,37,N,Ship,Taurus (SS),Visual,44.93333333,-48.86666667,1913,1913,March,3/30/13,,Large,,,,,,x,,,,,,,,,,,,,,,,NYMR & HB 1233 Apr 16,
IOT,1,38.11,38.11,N,Ship,Wakefield (SS),Visual,46,-48,1913,1913,March,3/30/13,,Large,,,,,,4,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9: saw 4 large & 3 small bergs; also a patch of field ice,
IOT,0,38.12,38.12,N,Ship,Wakefield (SS),Visual,46,-49,1913,1913,March,3/30/13,,Large,,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9: saw 4 large & 3 small bergs; also a patch of field ice,
IOT,1,38.21,38.21,N,Ship,Wakefield (SS),Visual,46,-48,1913,1913,March,3/30/13,,Small,,,,3,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9: saw 4 large & 3 small bergs; also a patch of field ice,
IOT,0,38.22,38.22,N,Ship,Wakefield (SS),Visual,46,-49,1913,1913,March,3/30/13,,Small,,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1232 Apr 9: saw 4 large & 3 small bergs; also a patch of field ice,
IOT,1,183,183,N,Ship,Lord Iveagh (SS),Visual,45.5,-42.06666667,1913,1913,March,3/30/13,,Large,,,,,,1,,,,,122,E,18,E,,,,,,,,HB 1235 April 30: saw a berg ~400' long & 60' high,
IOT,1,42,42,N,Ship,Oscar II (SS),Visual,45.56666667,-41.36666667,1913,1913,March,3/31/13,,Medium,,,,,1,,,,,,,,,,,,,,,,,"NYMR: 2nd. HB 1233 Apr 16.  HB 1233 Apr 16: Radiogram from IIP Seneca. HB 1238 May 21 Cruise Rpt: 31March, easternmost berg reported",
IOT,1,40,40,N,Ship,Volturno (SS),Visual,42.5,-49,1913,1913,April,4/1/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1233 Apr 16.  Sighting date approximate,
IOT,1,41.11,41.11,N,Ship,Queen Wilhelmina (SS),Visual,46.26666667,-45.3,1913,1913,April,4/1/13,,Large,,,,,,3,,,,,,,,,,,,,,,,NYMR: A number of bergs.  HB 1233 Apr 16: three large bergs,
IOT,0,41.12,41.12,N,Ship,Queen Wilhelmina (SS),Visual,46.06666667,-46.68333333,1913,1913,April,4/1/13,,Large,,,,,,,,,,,,,,,,,,,,,,NYMR: A number of bergs.  HB 1233 Apr 16: three large bergs,
IOT,1,41.21,41.21,N,Ship,Queen Wilhelmina (SS),Visual,46.26666667,-45.3,1913,1913,April,4/1/13,,Small,,,,x,,,,,,,,,,,,,,,,,,NYMR: A number of bergs.  HB 1233 Apr 16: several small bergs,
IOT,0,41.22,41.22,N,Ship,Queen Wilhelmina (SS),Visual,46.06666667,-46.68333333,1913,1913,April,4/1/13,,Small,,,,,,,,,,,,,,,,,,,,,,NYMR: A number of bergs.  HB 1233 Apr 16: several small bergs,
IOT,1,170,170,N,Ship,Canada (SS),Visual,46,-41.83333333,1913,1913,April,4/1/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,"HB 1233 Apr 16.  Sighting date approximate, likely early in month; copy blurred, lon uncertain",
IOT,1,171,171,N,Ship,Canada (SS),Visual,42.95,-49.25,1913,1913,April,4/1/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,"HB 1233 Apr 16.  Sighting date approximate, likely early in month; copy blurred, lon uncertain",
IOT,1,43,43,N,Ship,Athenia (SS),Visual,45.6,-41.4,1913,1913,April,4/2/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1233 Apr 16,
IOT,1,44,44,N,Ship,Athenia (SS),Visual,45.9,-41.13333333,1913,1913,April,4/2/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1233 Apr 16,
IOT,1,45,45,N,Ship,Athenia (SS),Visual,45.76666667,-41.05,1913,1913,April,4/2/13,,Large,,,,,,1,,,,,,,,,,,,,,,,NYMR & HB 1233 Apr 16,
IOT,1,172,172,N,Ship,Sicilian (SS),Visual,43,-49.25,1913,1913,April,4/6/13,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1233 Apr 16,
IOT,1,173.01,173.01,N,Ship,Sicilian (SS),Visual,43,-49,1913,1913,April,4/6/13,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1233 Apr 16,
IOT,0,173.02,173.02,N,Ship,Sicilian (SS),Visual,46,-41,1913,1913,April,4/6/13,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 1233 Apr 16,
IOT,1,175.01,175.01,N,Ship,Scotia (SS),Visual,46.5,-44,1913,1913,April,4/9/13,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1233 Apr 16,
IOT,0,175.02,175.02,N,Ship,Scotia (SS),Visual,46.5,-45,1913,1913,April,4/9/13,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 1233 Apr 16,
IOT,1,46,12,Y,Ship,Unknown,Visual,44.28333333,-48.6,1913,1913,April,4/10/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR. HB 1238 May 21 cruise report: originally relayed by C.Race,
IOT,1,47,13,Y,Ship,Unknown,Visual,44.11666667,-48.53333333,1913,1913,April,4/10/13,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR. HB 1238 May 21 cruise report: originally relayed by C.Race,
IOT,1,48.1,48.1,N,Ship,Beckenham (SS),Visual,49.51666667,-46.08333333,1913,1913,April,4/11/13,,Small,,,,1,,,,,,,30,E,9.1,E,,,,,,,,"NYMR & HB 1234 Apr 23: Berg 100' long, 30' high and several pieces of ice.",
IOT,1,48.2,48.2,N,Ship,Beckenham (SS),Visual,49.51666667,-46.08333333,1913,1913,April,4/11/13,,Growler,,x,,,,,,,,,,,,,,,,,,,,"NYMR HB 1234 Apr 23: Berg 100' long, 30' high and several pieces of ice.",
IOT,1,49,49,N,Ship,Beckenham (SS),Visual,49.33333333,-46.5,1913,1913,April,4/11/13,,Medium,,,,,1,,,,,,91,E,30,E,,,,,,,,NYMR & HB 1234 Apr 23: a berg ~100' high & 300' long,
IOT,1,176,176,N,Ship,Beckenham (SS),Visual,49.08333333,-47,1913,1913,April,4/11/13,,Medium,,,,,1,,,,,,91,E,37,E,,,,,,,,HB 1234 Apr 23: a berg ~120' high & 300' long,
IOT,1,300.1,300.1,N,Ship,Thorsa (SS),Visual,48,-44.5,1913,1913,April,4/11/13,,Large,,,,,,4,,,,,,,,,,,,,,,,HB 1240 June 4,
IOT,1,300.2,300.2,N,Ship,Thorsa (SS),Visual,48,-44.5,1913,1913,April,4/11/13,,Medium,,,,,2,,,,,,,,,,,,,,,,,HB 1240 June 4,
IOT,1,203,203,N,Ship,Jethou (SS),Visual,49.01666667,-49.33333333,1913,1913,April,4/12/13,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1237 May 14,
IOT,1,1219,1219,N,Ship,Drumlamrig (SS),Visual,44.5,-49,1913,1913,April,4/12/13,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1238 May 21 Cruise Rp: westernmost berg reported & probably aground on the edge of the Garnd Bank.,
IOT,1,50,46,Y,Ship,Seneca (IP),Visual,44.6,-48.15,1913,1913,April,4/13/13,18:00,Large,,,,,,1,,,,,,,21,E,,,,,,,,NYMR states 15 April. HB 1234 Apr 23. HB 1238 May 21 cruise report: resights of bergs reported 10th & probably same as Venango Mar 22 [Nos12&13]. HB 1239 May 28 Cruise Rpt: 70' high,
IOT,1,51,47,Y,Ship,Seneca (IP),Visual,44.6,-48.45,1913,1913,April,4/13/13,18:00,Large,,,,,,1,,,,,,,,,,,,,,,,NYMR states 15 April. HB 1234 Apr 24: another [large?] berg 11 miles W. HB 1238 May 21 cruise report: resights of bergs reported 10th & probably same as Venango Mar 22 [Nos12&13],
IOT,1,54,54,N,Ship,Mongolian (SS),Visual,49.35,-44.2,1913,1913,April,4/16/13,,Medium,,,,,2,,,,,,,,20,E,,,,,,,,NYMR & HB 1236 May 7: ~60-70' high.,
IOT,1,55,55,N,Ship,Mongolian (SS),Visual,49.28333333,-44.41666667,1913,1913,April,4/16/13,,Growler,,x,,,,,,,,,,,,,,,,,,,,NYMR & HB 1236 May 7: Numerous growlers.,
IOT,1,121,121,N,Miscellaneous,Belle Isle,Visual,51.95,-55.35,1913,1913,April,4/16/13,,Berg,2,,,,,,,,,,,,,,,,,,,,,NYMR 23 Apr. & HB 1234 Apr 23: heavy open ice distant moving E; 2 bergs,
IOT,1,184,184,N,Ship,Virginian (SS),Visual,47.4,-43.21666667,1913,1913,April,4/16/13,,Medium,,,,,1,,,,,,,,,,,,,,,,,HB 1235 April 30,
IOT,1,185.1,185.1,N,Ship,Virginian (SS),Visual,47.3,-43.88333333,1913,1913,April,4/16/13,,Medium,,,,,1,,,,,,,,,,,,,,,,,HB 1235 April 30,
IOT,1,185.2,185.2,N,Ship,Virginian (SS),Visual,47.3,-43.88333333,1913,1913,April,4/16/13,,Growler,,1,,,,,,,,,,,,,,,,,,,,HB 1235 April 30,
IOT,1,186,186,N,Ship,Virginian (SS),Visual,47.25,-43.98333333,1913,1913,April,4/16/13,,Medium,,,,,1,,,,,,,,,,,,,,,,,HB 1235 April 30,
IOT,1,187.1,187.1,N,Ship,Virginian (SS),Visual,46.78333333,-45.56666667,1913,1913,April,4/16/13,,Medium,,,,,1,,,,,,,,,,,,,,,,,HB 1235 April 30: a medium sized berg & several small pieces of ice,
IOT,1,187.2,187.2,N,Ship,Virginian (SS),Visual,46.78333333,-45.56666667,1913,1913,April,4/16/13,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1235 April 30: a medium sized berg & several small pieces of ice,
IOT,1,188,188,N,Ship,Virginian (SS),Visual,46.98333333,-45.98333333,1913,1913,April,4/16/13,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1235 April 30,
IOT,1,189,189,N,Ship,Virginian (SS),Visual,46.48333333,-46.7,1913,1913,April,4/16/13,,Medium,,,,,1,,,,,,,,,,,,,,,,,HB 1235 April 30,
IOT,1,190,190,N,Ship,Virginian (SS),Visual,46.66666667,-46.8,1913,1913,April,4/16/13,,Medium,,,,,1,,,,,,,,,,,,,,,,,HB 1235 April 30,
IOT,1,191,191,N,Ship,Virginian (SS),Visual,46.41666667,-47,1913,1913,April,4/16/13,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1235 April 30,
IOT,1,8,8,N,Ship,Arabic (SS),Visual,47.51666667,-44,1913,1913,April,4/17/13,15:00,Small,,,,1,,,,,,,,,,,,,,,,,,NYMR: 17 Mar. HB 1235 Apr 30: 17 April,
IOT,1,56,56,N,Ship,Mongolian (SS),Visual,47.93333333,-47.46666667,1913,1913,April,4/18/13,,Growler,,2,,,,,,,,,,,,,,,,,,,,NYMR & HB 1236 May 7: Dangerous growlers.,
IOT,1,57,57,N,Ship,Mongolian (SS),Visual,47.75,-47.56666667,1913,1913,April,4/18/13,,Large,,,,,,1,,,,,,,,,,,,,,,,NYMR & HB 1236 May 7,
IOT,1,60.1,60.1,N,Ship,Megantic (SS),Visual,47.75,-45.83333333,1913,1913,April,4/18/13,,Berg,2,,,,,,,,,,,,,,,,,,,,,NYMR: Bergs and several small pieces of ice in approximate position.,
IOT,1,60.2,60.2,N,Ship,Megantic (SS),Visual,47.75,-45.83333333,1913,1913,April,4/18/13,,Bergy bit,,,x,,,,,,,,,,,,,,,,,,,NYMR: Bergs and several small pieces of ice in approximate position.,
IOT,1,61.11,61.11,N,Ship,Megantic (SS),Visual,47.76666667,-46,1913,1913,April,4/18/13,,Berg,8,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1234 Apr 23: All low lying and dangerous.,
IOT,0,61.12,61.12,N,Ship,Megantic (SS),Visual,47.58333333,-46.41666667,1913,1913,April,4/18/13,,Berg,,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1234 Apr 23: All low lying and dangerous.,
IOT,1,61.21,61.21,N,Ship,Megantic (SS),Visual,47.76666667,-46,1913,1913,April,4/18/13,,Growler,,6,,,,,,,,,,,,,,,,,,,,NYMR & HB 1234 Apr 23: All low lying and dangerous.,
IOT,0,61.22,61.22,N,Ship,Megantic (SS),Visual,47.58333333,-46.41666667,1913,1913,April,4/18/13,,Growler,,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1234 Apr 23: All low lying and dangerous.,
IOT,1,58,58,N,Ship,Mongolian (SS),Visual,47.73333333,-48.58333333,1913,1913,April,4/19/13,,Large,,,,,,1,,,,,,,,,,,,,,,,NYMR & HB 1236 May 7,
IOT,1,62.01,62.01,N,Ship,Scandinavian (SS),Visual,47.3,-46.5,1913,1913,April,4/20/13,,Berg,15,,,,,,,,,,,,,,,,,,,,,NYMR,
IOT,0,62.02,62.02,N,Ship,Scandinavian (SS),Visual,48.01666667,-44.8,1913,1913,April,4/20/13,,Berg,,,,,,,,,,,,,,,,,,,,,,NYMR,
IOT,1,63.01,63.01,N,Ship,Numidian (SS),Visual,48.15,-44.71666667,1913,1913,April,4/20/13,3:00,Large,,,,,,13,,,,,,,,,,,,,,,,"NYMR & HB 1235 April 30: 13 bergs. HB 1236 May 7: 3 am saw a large berg; 7 am, 7 bergs; 8:30 am, 4 bergs; & 10 am. Large berg in final position",
IOT,0,63.02,63.02,N,Ship,Numidian (SS),Visual,47.23333333,-46.55,1913,1913,April,4/20/13,10:00,Large,,,,,,,,,,,,,,,,,,,,,,"NYMR & HB 1235 April 30: 13 bergs. HB 1236 May 7: 3 am saw a large berg; 7 am, 7 bergs; 8:30 am, 4 bergs; & 10 am. Large berg in final position",
IOT,1,64,64,N,Ship,Batiscan (SS),Visual,47.86666667,-44,1913,1913,April,4/21/13,,Large,,,,,,1,,,,,,,,,,,,,,,,NYMR & HB 1236 May 7,
IOT,1,66,66,N,Ship,Manchester Port (SS),Visual,48.23333333,-44.56666667,1913,1913,April,4/21/13,,Large,,,,,,1,,,,,,,,,,,,,,,,NYMR,
IOT,1,67.11,67.11,N,Ship,Manchester Port (SS),Visual,48.23333333,-44.56666667,1913,1913,April,4/21/13,,Berg,120,,,,,,,,,,,,,,,,,,,,,NYMR: passed 120 bergs in all and numerous growlers,
IOT,1,67.21,67.21,N,Ship,Manchester Port (SS),Visual,48.23333333,-44.56666667,1913,1913,April,4/21/13,,Growler,,x,,,,,,,,,,,,,,,,,,,,NYMR: passed 120 bergs in all and numerous growlers,
