data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments,,,
IOT,1,7,7,N,Ship,Unknown,Visual,45.66666667,-45.83333333,1918,1918,April,4/29/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR: Long low lying berg. And  HB 1497 May 8 - long low-lying iceberg,,,
IOT,1,8,8,N,Unknown,Unknown,Visual,46.65,-52.81666667,1918,1918,April,4/29/18,,Medium,,,,,1,,,,,,61,E,,,,,,,,,,NYMR & HB 1498 May 15: 10 miles E of C.Race a berg ~200' long floating very low in the water. [position calculated],,,
IOT,1,9,9,N,Ship,Unknown,Visual,43.71666667,-47.33333333,1918,1918,April,4/30/18,,Small,,,,2,,,,,,,,,15,E,,,,,,,,NYMR & HB 1499 May 22: 2 bergs ~50' high,,,
IOT,1,10,10,N,Ship,Unknown,Visual,43.08333333,-49.08333333,1918,1918,April,4/30/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR: Berg and field ice. And HB 1498 May 15,,,
IOT,1,15,15,N,Ship,Unknown,Visual,46.63333333,-44.75,1918,1918,May,5/1/18,,Small,,,,2,,,,,,,,,,,,,,,,,,NYMR 22 May and HB 1499 May 22,,,
IOT,1,16,16,N,Ship,Unknown,Visual,46.66666667,-44.76666667,1918,1918,May,5/1/18,,Medium,,,,,1,,,,,,61,E,12,E,,,,,,,,NYMR 22 May & HB 1499 May 22: berg ~200' long and 40' high,,,
IOT,1,17,17,N,Ship,Unknown,Visual,46.21666667,-45.33333333,1918,1918,May,5/1/18,,Small,,,,1,,,,,,,,,,,,,,,,,,NYMR 22 May and HB 1499 May 22,,,
IOT,1,40,40,N,Ship,Unknown,Visual,46.08333333,-42.26666667,1918,1918,May,5/2/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,NYMR & HB 1498 May 15: 10 miles E of C.Race a berg ~200' long floating very low in the water. [position calculated],,,
IOT,1,28,28,N,Ship,Unknown,Visual,43.81666667,-47.13333333,1918,1918,May,5/3/18,,Berg,2,,,,,,,,,,,,,,,,,,,,,HB 1498 May 15,,,
IOT,1,41,41,N,Ship,Unknown,Visual,44.28333333,-47.48333333,1918,1918,May,5/3/18,,Large,,,,,,1,,,,,183,E,61,E,,,,,,,,HB 1500 May 29: a berg ~200' high & 600' long,,,
IOT,1,33,33,N,Ship,Unknown,Visual,46.58333333,-40.13333333,1918,1918,May,5/4/18,,Large,,,,,,1,,,,,152,E,61,E,,,,,,,,HB 1499 May 22: a large berg ~200' high & 500' long,,,
IOT,1,42,42,N,Unknown,Unknown,Visual,47.61666667,-52,1918,1918,May,5/5/18,,Berg,3,,,,,,,,,,,,,,,,,,,,,"HB 1500 May 29: ~7 miles east of St. John's, 3 bergs [position calculated] -",,,
IOT,1,32,32,N,Unknown,Unknown,Visual,47.5,-52.61666667,1918,1918,May,5/10/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1500 May 29: a large berg aground off C.Spear [position approximate],,,
IOT,1,43,43,N,Unknown,Unknown,Visual,46.93333333,-52.88333333,1918,1918,May,5/10/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1500 May 29: iceberg aground off Bull Head [Ferryland?] [position approximate],,,
IOT,1,34,34,N,Ship,Unknown,Visual,45.88333333,-47.05,1918,1918,May,5/11/18,,Large,,,,,,1,,,,,,,61,E,,,,,,,,HB 1499 May 22: a large berg ~200' high,,,
IOT,1,35,35,N,Ship,Unknown,Visual,45.65,-46.88333333,1918,1918,May,5/11/18,,Large,,,,,,1,,,,,,,46,E,,,,,,,,HB 1499 May 22: a large berg ~150' high,,,
IOT,1,36,36,N,Ship,Unknown,Visual,43.45,-49.91666667,1918,1918,May,5/12/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1499 May 22,,,
IOT,1,37,37,N,Ship,Unknown,Visual,44.96666667,-48.83333333,1918,1918,May,5/12/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1499 May 22: a large berg ~5 miles to the southward [position calculated],,,
IOT,1,38,38,N,Ship,Unknown,Visual,42.58333333,-47.5,1918,1918,May,5/12/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1499 May 22,,,
IOT,1,39,39,N,Ship,Unknown,Visual,41.71666667,-50,1918,1918,May,5/12/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,"HB 1499 May 22: several bergs, several of which were from 100 to 150' high",,,
IOT,1,44,44,N,Ship,Unknown,Visual,40.5,-51,1918,1918,May,5/18/18,,Berg,7,,,,,,,,,,,,,,,,,,,,,HB 1500 May 29,,,
IOT,1,45,45,N,Ship,Unknown,Visual,47.3,-51.46666667,1918,1918,May,5/18/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,66.11,66.11,N,Ship,Unknown,Visual,49,-48.5,1918,1918,May,5/18/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1502 Jun 12: several large & small bergs; also a number of growlers,,,
IOT,0,66.12,66.12,N,Ship,Unknown,Visual,47.5,-50,1918,1918,May,5/18/18,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 1502 Jun 12: several large & small bergs; also a number of growlers,,,
IOT,1,66.21,66.21,N,Ship,Unknown,Visual,49,-48.5,1918,1918,May,5/18/18,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1502 Jun 12: several large & small bergs; also a number of growlers,,,
IOT,0,66.22,66.22,N,Ship,Unknown,Visual,47.5,-50,1918,1918,May,5/18/18,,Growler,,,,,,,,,,,,,,,,,,,,,,HB 1502 Jun 12: several large & small bergs; also a number of growlers,,,
IOT,1,46.01,46.01,N,Ship,Unknown,Visual,47.51666667,-52.55,1918,1918,May,5/19/18,,Small,,,,x,,,,,,,,,,,,,,,,,,"HB 1501 Jun 5: small bergs 3 miles offshore between Cape Spear and Cape St. Francis, N. F. ",,,
IOT,0,46.02,46.02,N,Ship,Unknown,Visual,47.81666667,-52.71666667,1918,1918,May,5/19/18,,Small,,,,,,,,,,,,,,,,,,,,,,"HB 1501 Jun 5: small bergs 3 miles offshore between Cape Spear and Cape St. Francis, N. F. ",,,
IOT,1,47,47,N,Ship,Unknown,Visual,46.33333333,-46.83333333,1918,1918,May,5/19/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,48.01,48.01,N,Ship,Unknown,Visual,45,-46,1918,1918,May,5/19/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5: low lying ice bergs,,,
IOT,0,48.02,48.02,N,Ship,Unknown,Visual,44,-48,1918,1918,May,5/19/18,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5: low lying ice bergs,,,
IOT,1,49.01,49.01,N,Ship,Unknown,Visual,41,-50,1918,1918,May,5/19/18,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 1501 Jun 5: small iceberg[s],,,
IOT,0,49.02,49.02,N,Ship,Unknown,Visual,42,-51,1918,1918,May,5/19/18,,Small,,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5: small iceberg[s],,,
IOT,1,68,68,N,Ship,Unknown,Visual,45.93333333,-45.5,1918,1918,May,5/19/18,,Large,,,,,,1,,,,,,,61,E,,,,,,,,HB 1502 Jun 12: a large berg ~200' high,,,
IOT,1,51,51,N,Ship,Unknown,Visual,48.4,-50,1918,1918,May,5/20/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5: numerous bergs,,,
IOT,1,73.1,73.1,N,Ship,Unknown,Visual,48.3,-48.86666667,1918,1918,May,5/20/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,"HB 1503 Jun 19: several bergs, one of which was 140' high & 500' long",,,
IOT,1,73.2,73.2,N,Ship,Unknown,Visual,48.3,-48.86666667,1918,1918,May,5/20/18,,Large,,,,,,1,,,,,152,E,43,E,,,,,,,,"HB 1503 Jun 19: several bergs, one of which was 140' high & 500' long",,,
IOT,1,50,50,N,Ship,Unknown,Visual,39.81666667,-56.66666667,1918,1918,May,5/21/18,,Growler,,2,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5: 2 small pieces of ice drifting in a SE direction,,,
IOT,1,52,52,N,Ship,Unknown,Visual,45,-51,1918,1918,May,5/21/18,,Berg,7,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,53,53,N,Unknown,Unknown,Visual,46.65,-52.78333333,1918,1918,May,5/21/18,,Small,,,,1,,,,,,,,,,,,,,,,,,"HB 1501 Jun 5: ~12 miles E of C.Race, a small berg [position calculated]",,,
IOT,1,54,54,N,Unknown,Unknown,Visual,46.65,-52.81666667,1918,1918,May,5/22/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,"HB 1501 Jun 5: ~10 miles E of C.Race, bergs [position calculated]",,,
IOT,1,55,55,N,Unknown,Unknown,Visual,47.51666667,-52.25,1918,1918,May,5/22/18,,Very Large,,,,,,,1,,,,,,,,,,,,,,,"HB 1501 Jun 5: ~15 miles E of C.Spear, a very large berg [position calculated]",,,
IOT,1,56.01,56.01,N,Unknown,Unknown,Visual,48.13333333,-52.78333333,1918,1918,May,5/22/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5: Icebergs along the coast from Baccalieu to C.Race,,,
IOT,0,56.02,56.02,N,Unknown,Unknown,Visual,46.65,-53.06666667,1918,1918,May,5/22/18,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5: Icebergs along the coast from Baccalieu to C.Race,,,
IOT,1,58.2,58.2,N,Ship,Unknown,Visual,46.55,-48,1918,1918,May,5/22/18,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,69,69,N,Ship,Unknown,Visual,49.23333333,-49.16666667,1918,1918,May,5/23/18,,Ice Island,,,,,,,,1,,Pinnacle,617,E,61,E,,,,,,,,HB 1502 Jun 12: berg ~1/3 mile long with two pinnacles about 200' high,,,
IOT,1,70.01,70.01,N,Ship,Unknown,Visual,51.5,-47.75,1918,1918,May,5/23/18,,Berg,70,,,,,,,,,,,,,,,,,,,,,HB 1502 Jun 12: at least 70 icebergs of various sizes,,,
IOT,0,70.02,70.02,N,Ship,Unknown,Visual,46.65,-53.06666667,1918,1918,May,5/23/18,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 1502 Jun 12: at least 70 icebergs of various sizes,,,
IOT,1,57,57,N,Ship,Unknown,Visual,42.91666667,-49.6,1918,1918,May,5/25/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,58.1,58.1,N,Ship,Unknown,Visual,46.55,-48,1918,1918,May,5/25/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,59,59,N,Ship,Unknown,Visual,46.18333333,-46.5,1918,1918,May,5/28/18,,Berg,7,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,60,60,N,Ship,Unknown,Visual,46.5,-47.66666667,1918,1918,May,5/28/18,,Growler,,1,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,61.1,61.1,N,Ship,Unknown,Visual,44.5,-48.66666667,1918,1918,May,5/28/18,,Berg,2,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,61.2,61.2,N,Ship,Unknown,Visual,44.5,-48.66666667,1918,1918,May,5/28/18,,Growler,,2,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,62.1,62.1,N,Ship,Unknown,Visual,45.6,-48,1918,1918,May,5/28/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5: bergs & a quantity of small ice,,,
IOT,1,62.2,62.2,N,Ship,Unknown,Visual,45.6,-48,1918,1918,May,5/28/18,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5: bergs & a quantity of small ice,,,
IOT,1,63.11,63.11,N,Ship,Unknown,Visual,44.55,-48.9,1918,1918,May,5/28/18,,Large,,,,,,5,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,0,63.12,63.12,N,Ship,Unknown,Visual,44.76666667,-47.55,1918,1918,May,5/28/18,,Large,,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,63.21,63.21,N,Ship,Unknown,Visual,44.55,-48.9,1918,1918,May,5/28/18,,Small,,,,2,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,0,63.22,63.22,N,Ship,Unknown,Visual,44.76666667,-47.55,1918,1918,May,5/28/18,,Small,,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,63.31,63.31,N,Ship,Unknown,Visual,44.55,-48.9,1918,1918,May,5/28/18,,Growler,,7,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,0,63.32,63.32,N,Ship,Unknown,Visual,44.76666667,-47.55,1918,1918,May,5/28/18,,Growler,,,,,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,74.01,74.01,N,Ship,Unknown,Visual,48.5,-50.33333333,1918,1918,May,5/28/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,"HB 1503 Jun 19: Numerous icebergs, several of which were large",,,
IOT,0,74.02,74.02,N,Ship,Unknown,Visual,47.33333333,-52,1918,1918,May,5/28/18,,Berg,,,,,,,,,,,,,,,,,,,,,,"HB 1503 Jun 19: Numerous icebergs, several of which were large",,,
IOT,1,75.01,75.01,N,Ship,Unknown,Visual,48.03333333,-49.33333333,1918,1918,May,5/30/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1503 Jun 19: bergs & field ice,,,
IOT,0,75.02,75.02,N,Ship,Unknown,Visual,47.36666667,-51.61666667,1918,1918,May,5/30/18,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 1503 Jun 19: bergs & field ice,,,
IOT,1,65,65,N,Ship,Unknown,Visual,41.76666667,-50.61666667,1918,1918,May,5/31/18,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1501 Jun 5,,,
IOT,1,76,76,N,Ship,Unknown,Visual,44.33333333,-47.33333333,1918,1918,May,5/31/18,,Large,,,,,,1,,,,,183,E,24,E,,,,,,,,HB 1503 Jun 19: a large berg ~600' long & 80' high,,,
IOT,1,77,77,N,Ship,Unknown,Visual,44.16666667,-47.5,1918,1918,May,5/31/18,,Small,,,,2,,,,,,,,,,,,,,,,,,HB 1503 Jun 19,,,
IOT,1,78,78,N,Ship,Unknown,Visual,44,-48.33333333,1918,1918,May,5/31/18,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1503 Jun 19,,,
IOT,1,18,18,N,Ship,Harry Lewis (Sch),Visual,47.03333333,-51.13333333,1918,1918,June,6/1/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,SICDB: position estimated and June date unknown.,,,
IOT,1,71,71,N,Ship,Unknown,Visual,42.73333333,-49.86666667,1918,1918,June,6/2/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1502 Jun 12,,,
IOT,1,79,79,N,Ship,Unknown,Visual,40.91666667,-48.83333333,1918,1918,June,6/2/18,,Large,,,,,,1,,,,,91,E,46,E,,,,,,,,HB 1503 Jun 19: a berg 150' high & 300' long,,,
IOT,1,80,80,N,Ship,Unknown,Visual,40.91666667,-48.43333333,1918,1918,June,6/2/18,,Large,,,,,,1,,,,,99,E,49,E,,,,,,,,HB 1503 Jun 19: a berg ~160' high & 325' long [likely the same berg as #79],,,
IOT,1,81,80,Y,Ship,Unknown,Visual,40.9,-48.41666667,1918,1918,June,6/2/18,,Medium,,,,,1,,,,,,49,E,24,E,,,,,,,,HB 1503 Jun 19: a berg ~80' high & 160' long [despite dimensions probably same berg as #80],,,
IOT,1,83,83,N,Ship,Unknown,Visual,41.58333333,-49.33333333,1918,1918,June,6/4/18,,Small,,,,x,,,,,,,,,,,,,,,,,,HB 1504 Jun 26,,,
IOT,1,84,84,N,Ship,Unknown,Visual,45.76666667,-47.96666667,1918,1918,June,6/4/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1504 Jun 26,,,
IOT,1,85,85,N,Ship,Unknown,Visual,45.76666667,-47.1,1918,1918,June,6/4/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1504 Jun 26,,,
IOT,1,64,64,N,Ship,Unknown,Visual,43.5,-48.15,1918,1918,June,6/8/18,,Very Large,,,,,,,1,,,,222,E,49,E,,,,,,,,HB 1504 Jun 26: a large berg ~160' high & 730' long,,,
IOT,1,67,67,N,Ship,Unknown,Visual,47.65,-50.4,1918,1918,June,6/8/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1504 Jun 26,,,
IOT,1,86,86,N,Ship,Unknown,Visual,42.45,-48.08333333,1918,1918,June,6/8/18,,Large,,,,,,1,,,,,,,49,E,,,,,,,,HB 1504 Jun 26: a berg ~160' high,,,
IOT,1,87,87,N,Unknown,Unknown,Visual,46.65,-52.86666667,1918,1918,June,6/8/18,,Ice Island,,,,,,,,1,,,2778,E,91,E,,,,,,,,"HB 1504 Jun 26: a berg 8 miles E of Cape Race, ~300' high & 1½ miles long",,,
IOT,1,88,88,N,Ship,Unknown,Visual,43.11666667,-49.35,1918,1918,June,6/8/18,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1504 Jun 26: some growlers,,,
IOT,1,89.11,89.11,N,Ship,Unknown,Visual,48.33333333,-49.48333333,1918,1918,June,6/8/18,,Large,,,,,,6,,,,,,,,,,,,,,,,"HB 1504 Jun 26: 7 large bergs, one of which was ~200' high & 400' long",,,
IOT,0,89.12,89.12,N,Ship,Unknown,Visual,48.01666667,-49.93333333,1918,1918,June,6/8/18,,Large,,,,,,,,,,,,,,,,,,,,,,"HB 1504 Jun 26: 7 large bergs, one of which was ~200' high & 400' long",,,
IOT,1,89.21,89.21,N,Ship,Unknown,Visual,48.33333333,-49.48333333,1918,1918,June,6/8/18,,Large,,,,,,1,,,,,122,E,61,E,,,,,,,,"HB 1504 Jun 26: 7 large bergs, one of which was ~200' high & 400' long",,,
IOT,0,89.22,89.22,N,Ship,Unknown,Visual,48.01666667,-49.93333333,1918,1918,June,6/8/18,,Large,,,,,,,,,,,,,,,,,,,,,,"HB 1504 Jun 26: 7 large bergs, one of which was ~200' high & 400' long",,,
IOT,1,90.01,90.01,N,Ship,Unknown,Visual,43.2,-51.5,1918,1918,June,6/8/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1504 Jun 26,,,
IOT,1,82,82,N,Unknown,Unknown,Visual,46.53333333,-53.06666667,1918,1918,June,6/9/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1503 Jun 19: a large berg 7 miles off Cape Race [position approximate],,,
IOT,0,90.02,90.02,N,Ship,Unknown,Visual,43,-51.9,1918,1918,June,6/9/18,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 1504 Jun 26,,,
IOT,1,93,93,N,Ship,Unknown,Visual,42.71666667,-51.75,1918,1918,June,6/9/18,,Growler,,1,,,,,,,,,,,,,,,,,,,,HB 1504 Jun 26: a large growler,,,
IOT,1,98,98,N,Ship,Unknown,Visual,41.51666667,-49.5,1918,1918,June,6/9/18,,Large,,,,,,x,,,,,,,,,,,,,,,,HB 1505 Jul 3: several large bergs,,,
IOT,1,94.1,94.1,N,Unknown,Unknown,Visual,46.65,-53,1918,1918,June,6/10/18,,Berg,3,,,,,,,,,,,,,,,,,,,,,HB 1504 Jun 26: 3 bergs & a growler off Cape Race [approximate position],,,
IOT,1,94.2,94.2,N,Unknown,Unknown,Visual,46.65,-53,1918,1918,June,6/10/18,,Growler,,1,,,,,,,,,,,,,,,,,,,,HB 1504 Jun 26: 3 bergs & a growler off Cape Race [approximate position],,,
IOT,1,95.01,95.01,N,Ship,Unknown,Visual,48.16666667,-48.46666667,1918,1918,June,6/12/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1504 Jun 26,,,
IOT,0,95.02,95.02,N,Ship,Unknown,Visual,48.33333333,-48.08333333,1918,1918,June,6/12/18,,Berg,,,,,,,,,,,,,,,,,,,,,,HB 1504 Jun 26,,,
IOT,1,96,96,N,Ship,Unknown,Visual,49.08333333,-47.83333333,1918,1918,June,6/13/18,,Small,,,,1,,,,,,,,,,,,,,,,,,HB 1504 Jun 26,,,
IOT,1,99,99,N,Ship,Unknown,Visual,47.65,-46.15,1918,1918,June,6/19/18,,Medium,,,,,1,,,,,,,,30,E,,,,,,,,HB 1505 Jul 3: a berg ~100' high,,,
IOT,1,100,100,N,Ship,Unknown,Visual,47.08333333,-47.15,1918,1918,June,6/19/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1505 Jul 3,,,
IOT,1,101,101,N,Ship,Unknown,Visual,47.01666667,-47.25,1918,1918,June,6/19/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1505 AL107Jul 3,,,
IOT,1,102.1,102.1,N,Unknown,Unknown,Visual,46.71666667,-52.98333333,1918,1918,June,6/19/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,HB 1505 Jul 3: bergs & growlers North and East of Cape Race [position approximate],,,
IOT,1,102.2,102.2,N,Unknown,Unknown,Visual,46.71666667,-52.98333333,1918,1918,June,6/19/18,,Growler,,x,,,,,,,,,,,,,,,,,,,,HB 1505 Jul 3: bergs & growlers North and East of Cape Race [position approximate],,,
IOT,1,103,103,N,Ship,Unknown,Visual,47.96666667,-50.91666667,1918,1918,June,6/20/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1505 Jul 3,,,
IOT,1,104,104,N,Ship,Unknown,Visual,46.78333333,-54.1,1918,1918,June,6/20/18,,Berg,1,,,,,,,,,,,,,,,,,,,,,HB 1505 Jul 3 [given lat of 46.48N is just on land; modified to 46.47N],,,
IOT,1,130.01,130.01,N,Ship,Unknown,Visual,49,-45,1918,1918,June,6/20/18,,Berg,x,,,,,,,,,,,,,,,,,,,,,"HB 1507 Jul 17: Large Number of small and large icebergs [exact date in June unknown, likely mid -late]",,,
IOT,0,130.02,130.02,N,Ship,Unknown,Visual,48,-48,1918,1918,June,6/20/18,,Berg,,,,,,,,,,,,,,,,,,,,,,"HB 1507 Jul 17: Large Number of small and large icebergs [exact date in June unknown, likely mid -late]",,,
IOT,1,91,91,N,Ship,Unknown,Visual,43.7,-49.11666667,1918,1918,June,6/21/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1505 Jul 3 [possibly same as #106],,,
IOT,1,105,105,N,Ship,Unknown,Visual,42,-50.66666667,1918,1918,June,6/21/18,,Medium,,,,,1,,,,,,91,E,15,E,,,,,,,,HB 1505 Jul 3: a berg ~300' wide & 50' high,,,
IOT,1,106,106,N,Ship,Unknown,Visual,43.7,-49.28333333,1918,1918,June,6/21/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1505 Jul 3,,,
IOT,1,132.1,132.1,N,Ship,Unknown,Visual,43.61666667,-48.78333333,1918,1918,June,6/21/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1507 Jul 17: a large & 3 small bergs close together,,,
IOT,1,132.2,132.2,N,Ship,Unknown,Visual,43.61666667,-48.78333333,1918,1918,June,6/21/18,,Small,,,,3,,,,,,,,,,,,,,,,,,HB 1507 Jul 17: a large & 3 small bergs close together,,,
IOT,1,133,133,N,Ship,Unknown,Visual,43.71666667,-49.66666667,1918,1918,June,6/21/18,,Large,,,,,,1,,,,,,,,,,,,,,,,HB 1507 Jul 17,,,
